Model Name,Number of Iterations,Precision,Recall,F1 Score,PSNR,SSIM,LPIPS,Time Taken (s)
Instant-NGP,1000,8.40,34.30,13.50,22.00,0.69,0.47,34
Instant-NGP,5000,17.50,64.71,27.55,22.78,0.77,0.26,123
Instant-NGP,10000,22.17,71.96,33.90,23.19,0.80,0.21,231
Instant-NGP,20000,22.14,69.89,33.63,23.34,0.82,0.17,450
Instant-NGP,30000,22.26,70.87,33.88,23.40,0.82,0.16,673
MipNeRF,1000,2.29,4.54,3.04,11.72,0.49,0.84,119
MipNeRF,5000,1.61,6.60,2.59,10.13,0.48,0.92,569
MipNeRF,10000,13.14,2.41,4.08,9.49,0.46,0.93,1133
MipNeRF,20000,1.06,5.54,1.78,9.94,0.48,0.90,2255
MipNeRF,30000,2.28,5.67,3.25,10.66,0.48,0.89,3447
NeRFacto,1000,61.36,82.60,70.41,22.88,0.70,0.36,37
NeRFacto,5000,61.43,82.64,70.47,22.56,0.74,0.17,145
NeRFacto,10000,61.46,82.66,70.50,22.33,0.74,0.14,267
NeRFacto,20000,61.46,82.66,70.50,22.49,0.74,0.12,485
NeRFacto,30000,61.49,82.64,70.51,22.38,0.74,0.11,716
NeRFacto (Green),50,3.98,8.91,5.50,16.62,0.58,0.85,13
NeRFacto (Green),750,28.64,52.34,37.02,22.57,0.68,0.43,30
NeRFacto (Green),1450,41.60,62.11,49.82,22.81,0.71,0.32,48
NeRFacto (Green),2150,46.33,66.67,54.67,23.03,0.73,0.26,65
NeRFacto (Green),2850,49.42,69.51,57.77,22.85,0.73,0.23,81
NeRFacto (Green),3550,51.72,70.31,59.60,22.64,0.73,0.21,100
NeRFacto (Green),4250,52.87,71.86,60.92,22.64,0.74,0.20,118
NeRFacto (Green),4950,55.05,73.68,63.02,22.58,0.75,0.18,136
NeRFacto (Green),5650,54.46,73.52,62.57,22.71,0.75,0.17,151
NeRFacto (Green),6350,54.36,73.55,62.52,22.74,0.76,0.16,165
NeRFacto (Green),7050,55.39,74.30,63.46,22.45,0.73,0.16,184
NeRFacto (Green),7750,56.40,75.07,64.41,22.69,0.75,0.15,200
NeRFacto (Green),8450,56.88,76.00,65.07,22.45,0.75,0.15,213
NeRFacto (Green),9150,59.02,75.85,66.39,22.47,0.74,0.15,230
NeRFacto (Green),9850,58.35,77.00,66.39,22.40,0.75,0.14,246
NeRFacto (Vanilla),50,,,,16.67,0.58,0.84,12
NeRFacto (Vanilla),750,34.86,58.82,43.78,22.79,0.70,0.40,30
NeRFacto (Vanilla),1450,43.97,67.51,53.25,22.74,0.71,0.31,48
NeRFacto (Vanilla),2150,47.74,70.65,56.98,22.78,0.73,0.25,66
NeRFacto (Vanilla),2850,49.72,72.61,59.03,22.44,0.72,0.22,84
NeRFacto (Vanilla),3550,51.04,73.12,60.12,22.57,0.73,0.20,224
NeRFacto (Vanilla),4250,52.87,74.15,61.73,22.73,0.74,0.18,278
NeRFacto (Vanilla),4950,54.12,76.66,63.45,22.25,0.73,0.17,132
NeRFacto (Vanilla),5650,55.45,77.46,64.63,22.66,0.75,0.16,149
NeRFacto (Vanilla),6350,56.32,78.27,65.50,22.67,0.75,0.15,166
NeRFacto (Vanilla),7050,56.14,77.42,65.08,22.41,0.73,0.15,184
NeRFacto (Vanilla),7750,56.19,77.08,65.00,22.42,0.73,0.15,228
NeRFacto (Vanilla),8450,58.28,78.56,66.92,22.30,0.74,0.14,240
NeRFacto (Vanilla),9150,57.56,79.19,66.66,22.31,0.73,0.14,259
NeRFacto (Vanilla),9850,58.78,80.20,67.83,22.71,0.76,0.14,250
