Model Name,Number of Iterations,Precision,Recall,F1 Score,PSNR,SSIM,LPIPS,Time Taken (s)
Instant-NGP,1000,8.40,34.30,13.50,22.00,0.69,0.47,34
Instant-NGP,5000,17.50,64.72,27.55,22.78,0.77,0.26,123
Instant-NGP,10000,22.29,72.26,34.07,23.19,0.80,0.21,231
Instant-NGP,20000,22.15,69.88,33.63,23.34,0.82,0.17,450
Instant-NGP,30000,22.25,70.87,33.87,23.40,0.82,0.16,673
MipNeRF,1000,2.29,4.54,3.04,11.72,0.49,0.84,119
MipNeRF,5000,1.62,6.60,2.60,10.13,0.48,0.92,569
MipNeRF,10000,13.21,2.35,4.00,9.49,0.46,0.93,1133
MipNeRF,20000,1.06,5.54,1.78,9.94,0.48,0.90,2255
MipNeRF,30000,2.28,5.67,3.25,10.66,0.48,0.89,3447
NeRFacto,1000,61.36,82.60,70.41,22.88,0.70,0.36,37
NeRFacto,5000,61.50,82.64,70.52,22.56,0.74,0.17,145
NeRFacto,10000,61.43,82.64,70.47,22.33,0.74,0.14,267
NeRFacto,20000,61.46,82.66,70.50,22.49,0.74,0.12,485
NeRFacto,30000,61.45,82.65,70.50,22.38,0.74,0.11,716
