Model Name,Number of Iterations,Precision,Recall,F1 Score,PSNR,SSIM,LPIPS,Time Taken (s)
Instant-NGP,1000,6.57,17.57,9.56,16.81,0.44,0.61,82
Instant-NGP,5000,10.01,23.84,14.10,18.43,0.56,0.43,396
Instant-NGP,10000,11.43,26.04,15.89,19.07,0.62,0.35,754
Instant-NGP,20000,13.93,29.81,18.99,19.38,0.64,0.32,1767
Instant-NGP,30000,15.44,31.45,20.71,19.31,0.65,0.30,2701
MipNeRF,1000,0.36,3.04,0.65,9.44,0.32,0.92,130
MipNeRF,5000,0.36,3.37,0.66,9.23,0.31,0.93,617
NeRFacto,1000,24.22,34.41,28.43,17.71,0.46,0.56,41
NeRFacto,5000,32.91,43.16,37.35,19.04,0.61,0.35,212
NeRFacto,10000,35.44,45.54,39.86,19.37,0.64,0.30,358
NeRFacto,20000,37.47,47.38,41.85,19.41,0.66,0.26,967
NeRFacto,30000,38.20,48.51,42.74,19.04,0.64,0.24,2711
